Reading 5 bytes:
Reading at malicious_x = 0xffffffffffffdf88... miss : mix_i=13 , time=1220
miss : mix_i=76 , time=173
miss : mix_i=243 , time=173
miss : mix_i=154 , time=173
miss : mix_i=65 , time=173
miss : mix_i=232 , time=173
miss : mix_i=143 , time=173
miss : mix_i=54 , time=482
miss : mix_i=221 , time=173
miss : mix_i=132 , time=173
miss : mix_i=43 , time=173
miss : mix_i=210 , time=173
miss : mix_i=121 , time=173
miss : mix_i=32 , time=173
miss : mix_i=199 , time=1221
miss : mix_i=110 , time=173
miss : mix_i=21 , time=170
miss : mix_i=188 , time=170
miss : mix_i=99 , time=173
miss : mix_i=10 , time=173
miss : mix_i=177 , time=173
miss : mix_i=88 , time=173
miss : mix_i=255 , time=173
miss : mix_i=166 , time=173
miss : mix_i=77 , time=173
miss : mix_i=244 , time=697
miss : mix_i=155 , time=173
miss : mix_i=66 , time=173
miss : mix_i=233 , time=173
miss : mix_i=144 , time=173
miss : mix_i=55 , time=173
miss : mix_i=222 , time=173
miss : mix_i=133 , time=173
miss : mix_i=44 , time=173
miss : mix_i=211 , time=173
miss : mix_i=122 , time=173
miss : mix_i=33 , time=173
miss : mix_i=200 , time=173
miss : mix_i=111 , time=173
miss : mix_i=22 , time=173
miss : mix_i=189 , time=173
miss : mix_i=100 , time=173
miss : mix_i=11 , time=173
miss : mix_i=178 , time=173
miss : mix_i=89 , time=173
miss : mix_i=0 , time=1221
miss : mix_i=167 , time=170
miss : mix_i=78 , time=170
miss : mix_i=245 , time=173
miss : mix_i=156 , time=173
miss : mix_i=67 , time=173
miss : mix_i=234 , time=173
miss : mix_i=145 , time=1221
miss : mix_i=56 , time=173
miss : mix_i=223 , time=170
miss : mix_i=134 , time=173
miss : mix_i=45 , time=173
miss : mix_i=212 , time=173
miss : mix_i=123 , time=173
miss : mix_i=34 , time=173
miss : mix_i=201 , time=173
miss : mix_i=112 , time=173
miss : mix_i=23 , time=173
miss : mix_i=190 , time=1221
miss : mix_i=101 , time=173
miss : mix_i=12 , time=170
miss : mix_i=179 , time=173
miss : mix_i=90 , time=173
miss : mix_i=1 , time=173
miss : mix_i=168 , time=173
miss : mix_i=79 , time=541
miss : mix_i=246 , time=170
miss : mix_i=157 , time=173
miss : mix_i=68 , time=173
miss : mix_i=235 , time=173
miss : mix_i=146 , time=173
miss : mix_i=57 , time=173
miss : mix_i=224 , time=173
miss : mix_i=135 , time=173
miss : mix_i=46 , time=173
miss : mix_i=213 , time=173
miss : mix_i=124 , time=173
miss : mix_i=35 , time=173
miss : mix_i=202 , time=1221
miss : mix_i=113 , time=173
miss : mix_i=24 , time=170
miss : mix_i=191 , time=173
miss : mix_i=102 , time=173
miss : mix_i=13 , time=1220
miss : mix_i=180 , time=172
miss : mix_i=91 , time=172
miss : mix_i=2 , time=172
miss : mix_i=169 , time=173
miss : mix_i=80 , time=173
miss : mix_i=247 , time=173
miss : mix_i=158 , time=173
miss : mix_i=69 , time=170
miss : mix_i=236 , time=173
miss : mix_i=147 , time=173
miss : mix_i=58 , time=173
miss : mix_i=225 , time=173
miss : mix_i=136 , time=173
miss : mix_i=47 , time=173
miss : mix_i=214 , time=527
miss : mix_i=125 , time=173
miss : mix_i=36 , time=173
miss : mix_i=203 , time=173
miss : mix_i=114 , time=173
miss : mix_i=25 , time=173
miss : mix_i=192 , time=173
miss : mix_i=103 , time=173
miss : mix_i=14 , time=173
miss : mix_i=181 , time=173
miss : mix_i=92 , time=170
mix_i = array1[tries % array1_size] : mix_i=3 , time=38
miss : mix_i=170 , time=172
miss : mix_i=81 , time=173
miss : mix_i=248 , time=173
miss : mix_i=159 , time=170
miss : mix_i=70 , time=170
miss : mix_i=237 , time=170
miss : mix_i=148 , time=1218
miss : mix_i=59 , time=170
miss : mix_i=226 , time=170
miss : mix_i=137 , time=172
miss : mix_i=48 , time=170
miss : mix_i=215 , time=170
miss : mix_i=126 , time=170
miss : mix_i=37 , time=170
miss : mix_i=204 , time=170
miss : mix_i=115 , time=170
miss : mix_i=26 , time=173
miss : mix_i=193 , time=170
miss : mix_i=104 , time=170
miss : mix_i=15 , time=170
miss : mix_i=182 , time=170
miss : mix_i=93 , time=170
miss : mix_i=4 , time=508
miss : mix_i=171 , time=170
miss : mix_i=82 , time=170
